                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.93926,                 0.5427,                0.89637,                 1.0998,                0.56694,                0.88125,                0.96624,                0.72802,                0.84182,                 0.4048,                  1.852,                 1.0769,                 1.0501,                 1.9903,                 1.0129,                 1.0235,             0.00063676,             0.00063676,             0.00063676
                     59,                 0.9888,                0.58822,                 0.8975,                 1.2061,                0.62199,                0.87328,                0.94582,                 0.7683,                0.90051,                0.39248,                 1.7728,                 1.1022,                 1.0405,                 1.8732,                 1.1101,                 1.0209,             0.00062262,             0.00062262,             0.00062262
                     60,                  1.054,                0.58039,                0.88376,                 1.2328,                0.57759,                0.85213,                0.86108,                0.81567,                 0.8866,                0.39286,                 1.6202,                 1.0051,                0.97903,                 1.7988,                 1.1624,                0.98841,             0.00060847,             0.00060847,             0.00060847
                     61,                0.93833,                0.54091,                0.89782,                 1.1197,                0.54014,                 0.8719,                 0.8499,                0.82151,                0.88278,                 0.3973,                 1.6071,                 0.9504,                0.96423,                 1.7967,                 1.1319,                0.98154,             0.00059432,             0.00059432,             0.00059432
                     62,                0.96503,                0.55343,                0.90866,                 1.1633,                0.57921,                0.87221,                0.89852,                0.85177,                0.89246,                0.44907,                 1.7204,                0.97151,                 1.0275,                  1.822,                 1.1194,                 1.0026,             0.00058017,             0.00058017,             0.00058017
                     63,                0.92672,                0.52387,                0.94248,                 1.0565,                0.53394,                0.94327,                0.81102,                0.87296,                0.89246,                0.44302,                 1.7795,                 1.0411,                 1.0283,                 1.8995,                 1.0962,                0.99477,             0.00056603,             0.00056603,             0.00056603
                     64,                0.92243,                0.52972,                0.89825,                 1.1013,                0.52054,                0.86681,                0.90762,                0.86489,                0.91581,                0.49221,                 1.5047,                0.94905,                0.91878,                 1.6193,                0.96509,                0.91564,             0.00055188,             0.00055188,             0.00055188
                     65,                0.94786,                0.52089,                0.89389,                 1.1127,                0.46994,                0.87053,                0.92958,                0.87831,                0.91717,                0.48914,                 1.5596,                0.96795,                0.92764,                 1.6886,                0.84096,                0.92093,             0.00053773,             0.00053773,             0.00053773
                     66,                0.88302,                0.49909,                0.88759,                 1.0374,                0.45466,                0.87551,                0.84383,                0.81981,                0.84179,                 0.3064,                 1.9854,                0.95372,                 1.1319,                 2.0499,                0.99059,                 1.0638,             0.00052359,             0.00052359,             0.00052359
                     67,                0.83359,                0.47933,                0.88831,                0.97623,                0.46687,                0.87998,                 0.8962,                0.89683,                0.91916,                 0.3286,                 1.9343,                0.92086,                 1.0642,                 2.0103,                0.97057,                  1.033,             0.00050944,             0.00050944,             0.00050944
                     68,                0.80947,                 0.4909,                0.88383,                0.96139,                0.48565,                0.88667,                0.91942,                0.87387,                0.90409,                0.43993,                 1.7326,                 1.0838,                0.98147,                 1.8252,                 1.0273,                0.97364,             0.00049529,             0.00049529,             0.00049529
                     69,                0.83537,                0.47062,                0.88308,                 1.0158,                0.46564,                0.87493,                 0.8423,                0.87237,                0.89413,                0.43934,                 1.7409,                 1.1241,                0.98651,                 1.7989,                0.98664,                0.96837,             0.00048114,             0.00048114,             0.00048114
                     70,                0.85613,                0.48166,                0.86174,                 1.0594,                0.49297,                0.84343,                 0.9026,                0.80937,                0.90277,                0.40607,                 1.7929,                 1.0385,                 1.0315,                 1.8629,                0.96172,                0.99694,               0.000467,               0.000467,               0.000467
                     71,                 0.8233,                0.49958,                0.87709,                 1.0268,                 0.5741,                0.85856,                0.90233,                0.84127,                0.91048,                0.41812,                    1.8,                0.99919,                 1.0342,                 1.9191,                0.91563,                 1.0066,             0.00045285,             0.00045285,             0.00045285
                     72,                0.87653,                0.50535,                0.86229,                 1.0842,                0.52268,                 0.8511,                  0.958,                0.79958,                0.89893,                0.41549,                 1.8791,                 1.0027,                 1.0421,                 1.9471,                 0.9732,                 1.0057,              0.0004387,              0.0004387,              0.0004387
                     73,                0.82061,                0.49348,                 0.8563,                 1.0836,                0.55666,                0.84338,                 0.9473,                0.81055,                0.90275,                0.43137,                 1.7571,                0.94821,                 1.0163,                 1.8317,                0.98684,                0.98457,             0.00042456,             0.00042456,             0.00042456
                     74,                0.83428,                0.45133,                0.86384,                 0.9968,                0.41105,                0.85038,                  0.951,                0.78631,                0.89348,                0.38774,                 1.8204,                0.99414,                 1.0617,                 1.9132,                 1.1209,                 1.0185,             0.00041041,             0.00041041,             0.00041041
                     75,                0.78544,                0.44645,                0.87029,                0.96249,                0.43793,                0.85887,                0.90049,                0.72551,                0.81872,                0.36561,                 1.9115,                 1.0301,                 1.1052,                 2.0154,                 1.1616,                 1.0522,             0.00039626,             0.00039626,             0.00039626
                     76,                 0.8175,                0.45412,                  0.883,                0.98761,                0.47256,                0.86216,                 0.8815,                0.82275,                0.89561,                0.42805,                 1.7736,                 1.0036,                 1.0473,                 1.9301,                 1.0044,                 1.0208,             0.00038211,             0.00038211,             0.00038211
                     77,                0.80603,                 0.4449,                0.85841,                0.96324,                0.40544,                0.84625,                0.87142,                0.82917,                0.89984,                0.45546,                 1.6762,                0.94032,                 1.0091,                 1.8247,                0.95315,                 0.9924,             0.00036797,             0.00036797,             0.00036797
                     78,                0.81952,                 0.4336,                0.86223,                0.99813,                0.44475,                0.84469,                0.86155,                0.86834,                0.91404,                 0.4492,                 1.7526,                0.90028,                 1.0307,                  1.884,                0.90032,                 1.0111,             0.00035382,             0.00035382,             0.00035382
                     79,                0.78612,                0.44197,                0.83857,                0.97465,                0.47004,                0.83364,                0.90396,                0.86088,                0.91944,                0.45401,                 1.7587,                0.88921,                 1.0329,                  1.877,                0.89068,                 1.0102,             0.00033967,             0.00033967,             0.00033967
                     80,                0.75872,                0.43331,                0.84938,                0.90765,                0.39932,                0.84111,                 0.8626,                0.90188,                0.92353,                0.45103,                 1.7048,                0.91948,                 1.0253,                 1.8213,                0.88667,                 1.0029,             0.00032553,             0.00032553,             0.00032553
                     81,                0.74831,                0.42805,                0.82686,                0.90605,                0.39727,                0.82868,                0.87852,                0.87573,                0.92655,                0.44151,                 1.6619,                0.93724,                0.99597,                 1.7922,                0.86783,                0.98897,             0.00031138,             0.00031138,             0.00031138
                     82,                0.73725,                0.45256,                 0.8368,                0.94385,                0.50044,                0.83439,                0.91928,                 0.8865,                0.93409,                0.44601,                 1.6807,                0.91299,                0.97737,                 1.8569,                0.81066,                0.98339,             0.00029723,             0.00029723,             0.00029723
